Station;Date;Jour;Mois_numero;Mois_nom;Annee;Pluviometrie_mm;Tmin_C;Tmax_C;Tmoy_C;HumiditeRelative_pourcent;RayonnementGlobal_Joulesparcm2;ETP_mm
CLERMONT_FD;01_01_1955;1;1;Janvier;1955;0;-2;2;0,00;;66.9;0.22
CLERMONT_FD;02_01_1955;2;1;Janvier;1955;10.4;-6.5;-2;-4.25;;66.9;0.22
CLERMONT_FD;03_01_1955;3;1;Janvier;1955;2;-4.9;0.4;-2.25;;66.9;0.22
CLERMONT_FD;04_01_1955;4;1;Janvier;1955;10.1;-3;1.9;-0.550000011920928;;66.9;0.22
CLERMONT_FD;05_01_1955;5;1;Janvier;1955;1.8;-2.9;6.6;1.84999990463257;;66.9;0.22
CLERMONT_FD;06_01_1955;6;1;Janvier;1955;0.7;2.4;8.6;5.5;;66.9;0.22
CLERMONT_FD;07_01_1955;7;1;Janvier;1955;8;1.1;3.6;2.34999990463257;;66.9;0.22
CLERMONT_FD;08_01_1955;8;1;Janvier;1955;0.1;1.1;2.8;1.95000004768372;;66.9;0.22
CLERMONT_FD;09_01_1955;9;1;Janvier;1955;0;1;3.8;2.40000009536743;;66.9;0.22
CLERMONT_FD;10_01_1955;10;1;Janvier;1955;0.2;-4.3;14.2;4.94999980926514;;66.9;0.22
CLERMONT_FD;11_01_1955;11;1;Janvier;1955;2.1;4.2;16.4;10.2999992370605;;84.6;1.11
CLERMONT_FD;12_01_1955;12;1;Janvier;1955;1.1;10.4;16.4;13.3999996185303;;84.6;1.11
CLERMONT_FD;13_01_1955;13;1;Janvier;1955;0.7;4.9;15.8;10.3500003814697;;84.6;1.11
CLERMONT_FD;14_01_1955;14;1;Janvier;1955;2.5;11.9;15.9;13.8999996185303;;84.6;1.11
CLERMONT_FD;15_01_1955;15;1;Janvier;1955;0;5;18;11.5;;84.6;1.11
CLERMONT_FD;16_01_1955;16;1;Janvier;1955;1.3;9.3;13.4;11.3500003814697;;84.6;1.11
CLERMONT_FD;17_01_1955;17;1;Janvier;1955;16.9;0.6;7.6;4.09999990463257;;84.6;1.11
CLERMONT_FD;18_01_1955;18;1;Janvier;1955;0.3;-1.3;4.1;1.39999997615814;;84.6;1.11
CLERMONT_FD;19_01_1955;19;1;Janvier;1955;0;-7;6.6;-0.200000047683716;;84.6;1.11
CLERMONT_FD;20_01_1955;20;1;Janvier;1955;0;2.2;10.3;6.25;;84.6;1.11
CLERMONT_FD;21_01_1955;21;1;Janvier;1955;3.4;3;13.3;8.14999961853027;;101.6;0.81
CLERMONT_FD;22_01_1955;22;1;Janvier;1955;0;7.7;13.8;10.75;;101.6;0.81
CLERMONT_FD;23_01_1955;23;1;Janvier;1955;0;5;11.4;8.19999980926514;;101.6;0.81
CLERMONT_FD;24_01_1955;24;1;Janvier;1955;0.1;4.2;6.6;5.39999961853027;;101.6;0.81
CLERMONT_FD;25_01_1955;25;1;Janvier;1955;0;0.1;8.3;4.20000028610229;;101.6;0.81
CLERMONT_FD;26_01_1955;26;1;Janvier;1955;0;-3.8;8.3;2.25;;101.6;0.81
CLERMONT_FD;27_01_1955;27;1;Janvier;1955;0;2.6;17;9.80000019073486;;101.6;0.81
CLERMONT_FD;28_01_1955;28;1;Janvier;1955;0;4.5;15.3;9.89999961853027;;101.6;0.81
CLERMONT_FD;29_01_1955;29;1;Janvier;1955;0;3.2;16;9.60000038146973;;101.6;0.81
CLERMONT_FD;30_01_1955;30;1;Janvier;1955;1.6;5;13.8;9.39999961853027;;101.6;0.81
CLERMONT_FD;31_01_1955;31;1;Janvier;1955;1.7;7.8;14.2;11,00;;101.6;0.81
CLERMONT_FD;01_02_1955;1;2;Fevrier;1955;2.7;7.1;16.3;11.6999998092651;;103.9;1.29
CLERMONT_FD;02_02_1955;2;2;Fevrier;1955;0;4.6;12;8.30000019073486;;103.9;1.29
CLERMONT_FD;03_02_1955;3;2;Fevrier;1955;2;4.2;11.8;8,00;;103.9;1.29
CLERMONT_FD;04_02_1955;4;2;Fevrier;1955;4.6;5.1;13;9.05000019073486;;103.9;1.29
CLERMONT_FD;05_02_1955;5;2;Fevrier;1955;2.4;6.6;11.4;9,00;;103.9;1.29
CLERMONT_FD;06_02_1955;6;2;Fevrier;1955;4.1;2.7;9.9;6.29999971389771;;103.9;1.29
CLERMONT_FD;07_02_1955;7;2;Fevrier;1955;0;-3;13;5,00;;103.9;1.29
CLERMONT_FD;08_02_1955;8;2;Fevrier;1955;2.1;9.4;15.4;12.3999996185303;;103.9;1.29
CLERMONT_FD;09_02_1955;9;2;Fevrier;1955;8.2;5.2;8.2;6.69999980926514;;103.9;1.29
CLERMONT_FD;10_02_1955;10;2;Fevrier;1955;0;1.8;8;4.90000009536743;;103.9;1.29
CLERMONT_FD;11_02_1955;11;2;Fevrier;1955;0;-6;4;-1,00;;165.6;0.72
CLERMONT_FD;12_02_1955;12;2;Fevrier;1955;0;-6.2;5.6;-0.299999952316284;;165.6;0.72
CLERMONT_FD;13_02_1955;13;2;Fevrier;1955;0.4;-3.4;5.2;0.899999856948853;;165.6;0.72
CLERMONT_FD;14_02_1955;14;2;Fevrier;1955;0;-2.8;0.8;-1,00;;165.6;0.72
CLERMONT_FD;15_02_1955;15;2;Fevrier;1955;0;-4.8;5.8;0.5;;165.6;0.72
CLERMONT_FD;16_02_1955;16;2;Fevrier;1955;0;-4.8;8.9;2.04999971389771;;165.6;0.72
CLERMONT_FD;17_02_1955;17;2;Fevrier;1955;0;-3.3;1.6;-0.849999964237213;;165.6;0.72
CLERMONT_FD;18_02_1955;18;2;Fevrier;1955;0.3;-5.1;6.4;0.650000095367432;;165.6;0.72
CLERMONT_FD;19_02_1955;19;2;Fevrier;1955;0;-3;5.5;1.25;;165.6;0.72
CLERMONT_FD;20_02_1955;20;2;Fevrier;1955;0;-2.9;2.6;-0.150000095367432;;165.6;0.72
CLERMONT_FD;21_02_1955;21;2;Fevrier;1955;0;-2;10.2;4.09999990463257;;145.9;0.86
CLERMONT_FD;22_02_1955;22;2;Fevrier;1955;0;5.6;12.8;9.19999980926514;;145.9;0.86
CLERMONT_FD;23_02_1955;23;2;Fevrier;1955;5.5;4.3;8.3;6.30000019073486;;145.9;0.86
CLERMONT_FD;24_02_1955;24;2;Fevrier;1955;0;2.3;12.2;7.25;;145.9;0.86
CLERMONT_FD;25_02_1955;25;2;Fevrier;1955;0;-1.4;9.9;4.25;;145.9;0.86
