Year;CoarseSand_gperkg;LightSand_gperkg;CoarseLimestone_gperkg;LightLimestone_gperkg;Clay_gperkg;Corg_gperkg;OrganicMatter_gperkg;NitrogenTot_gparkg;pH_water;CaTot_gparkg;CaAct_gparkg
2015;NA;NA;NA;NA;NA;15;25.95;1.5;8;NA;NA
2015;NA;NA;NA;NA;NA;16;27.78;1.62;7.2;NA;NA
2019;NA;NA;NA;NA;NA;16;27.5;1.8;7.85;NA;NA
1965;65;115;525;71;195;17;29;1.8;6.3;0;0
1958;94;71;125;174;530;18;31;;8.3;115;NA
2019;NA;NA;NA;NA;NA;21;36.2;1.7;7.94;NA;NA
2017;NA;NA;NA;NA;603;22;37.8;2;7.8;11;NA
2018;NA;NA;NA;NA;341;22;37.8;2;8.1;467;NA
1959;31;19;175;175;560;24;41;2.3;7.8;25;NA
1956;142;55;112;238;410;25;43;2.4;7.5;0;0
1962;157;52;18;205;568;25;43;;8.1;15;NA
1959;73;44;73;167;600;25;43;;8;45;NA
2017;NA;NA;NA;NA;NA;10.04;17.36;0.91;8.25;NA;NA
2016;NA;NA;NA;NA;NA;10.37;17.94;0.99;8.1;NA;NA
2016;NA;NA;NA;NA;NA;10.41;18.01;0.95;8.2;NA;NA
2016;NA;NA;NA;NA;NA;10.98;19;1.11;7.1;NA;NA
2015;NA;NA;NA;NA;NA;11.02;19.06;0.99;8.4;NA;NA
1975;30;10;236;470;230;11.05;19;;7.6;5;NA
2015;NA;NA;NA;NA;NA;11.1;19.21;1.21;6.74;NA;NA
2016;NA;NA;NA;NA;NA;11.22;19.41;1.07;8.1;NA;NA
2016;NA;NA;NA;NA;NA;11.31;19.57;1.14;7.5;NA;NA
2015;NA;NA;NA;NA;NA;11.34;19.62;1.09;8;NA;NA
2017;NA;NA;NA;NA;NA;11.39;19.7;1.04;8.37;NA;NA
2016;NA;NA;NA;NA;NA;11.44;19.79;1.22;6.6;NA;NA
2016;NA;NA;NA;NA;NA;11.47;19.84;1.1;7.9;NA;NA
2017;NA;NA;NA;NA;NA;11.48;19.86;1.03;8.52;NA;NA
2017;NA;NA;NA;NA;NA;11.53;19.95;1.16;7.4;NA;NA
2017;NA;NA;NA;NA;NA;11.54;19.96;1.03;8.12;NA;NA
2017;NA;NA;NA;NA;NA;11.57;20.02;1.06;8.19;NA;NA
2017;NA;NA;NA;NA;NA;11.59;20.05;1.17;7.2;NA;NA
1967;NA;NA;NA;NA;NA;11.63;20;;7.4;260;NA
2017;NA;NA;NA;NA;NA;11.63;20.12;1.09;7.6;NA;NA
2014;NA;NA;NA;NA;NA;11.8023255813953;20.3;;8.2;NA;NA
2015;NA;NA;NA;NA;NA;11.83;20.47;1.14;7.6;NA;NA
2017;NA;NA;NA;NA;NA;11.85;20.5;1.09;8.24;NA;NA
2016;NA;NA;NA;NA;NA;11.86;20.52;1.14;7.6;NA;NA
2017;NA;NA;NA;NA;NA;11.86;20.52;1.26;6.9;NA;NA
2016;NA;NA;NA;NA;NA;11.97;20.71;1.1;8.1;NA;NA
2017;NA;NA;NA;NA;NA;11.98;20.73;1.14;8.1;NA;NA
2017;NA;NA;NA;NA;NA;11.99;20.75;1.15;8.01;NA;NA
2017;NA;NA;NA;NA;NA;12.01;20.78;1.14;8.11;NA;NA
1970;NA;NA;NA;NA;NA;12.21;21;;7.1;5;NA
2017;NA;NA;NA;NA;NA;12.24;21.18;1.22;8;NA;NA
2017;NA;NA;NA;NA;NA;12.27;21.23;1.18;7.8;NA;NA
2017;NA;NA;NA;NA;NA;12.28;21.24;1.18;7.6;NA;NA
2016;NA;NA;NA;NA;NA;12.36;21.38;1.19;7.7;NA;NA
2016;NA;NA;NA;NA;NA;12.47;21.57;1.2;7.9;NA;NA
2015;NA;NA;NA;NA;NA;12.5;21.5;;;NA;NA
2017;NA;NA;NA;NA;NA;12.66;21.91;1.28;7.4;NA;NA
2015;NA;NA;NA;NA;NA;12.69;21.95;1.16;8.3;NA;NA
2017;NA;NA;NA;NA;NA;12.69;21.95;1.21;8.15;NA;NA
2015;NA;NA;NA;NA;NA;12.74;22.04;1.245;8.26;NA;NA
2016;NA;NA;NA;NA;NA;12.76;22.07;1.17;8.1;NA;NA
1967;NA;NA;NA;NA;NA;12.79;22;;7.6;150;NA
2017;NA;NA;NA;NA;NA;12.81;22.16;1.21;7.6;NA;NA
2016;NA;NA;NA;NA;NA;12.85;22.23;1.24;8;NA;NA
2017;NA;NA;NA;NA;NA;12.87;22.27;1.3;7.3;NA;NA
2015;NA;NA;NA;NA;NA;12.88;22.28;1.24;7.7;NA;NA
2017;NA;NA;NA;NA;NA;12.89;22.3;1.18;8.1;NA;NA
2019;NA;NA;NA;NA;NA;12.9;22.2;1.4;7.7;NA;NA
2017;NA;NA;NA;NA;NA;12.95;22.4;1.23;8.09;NA;NA
2016;NA;NA;NA;NA;NA;13.02;22.52;1.25;7.6;NA;NA
2017;NA;NA;NA;NA;NA;13.17;22.78;1.21;8.2;NA;NA
2017;NA;NA;NA;NA;NA;13.18;22.8;1.18;8.3;NA;NA
2017;NA;NA;NA;NA;NA;13.19;22.82;1.26;8.35;NA;NA
2016;NA;NA;NA;NA;NA;13.22;22.87;1.27;7.9;NA;NA
2016;NA;NA;NA;NA;NA;13.28;22.97;;8.11;NA;NA
2017;NA;NA;NA;NA;NA;13.29;22.99;1.41;6.6;NA;NA
2016;NA;NA;NA;NA;NA;13.31;23.03;1.28;7.7;NA;NA
2017;NA;NA;NA;NA;NA;13.32;23.04;1.33;8.04;NA;NA
1970;NA;NA;NA;NA;NA;13.37;23;;7.2;26;NA
2015;NA;NA;NA;NA;NA;13.3720930232558;23;;8.5;NA;NA
