Year;Wheat;Maize;Sunflower
1960;2.1;5;2.04983846774372
1961;2.21;3.5;2.04983846774372
1962;2.6;3;1.93725878024776
1963;2.26;3.5;1.6099615437856
1964;2.84;2.5;1.69805694956603
1965;2.87;4;1.8037954407003
1966;2.83;4;2.05439926531819
1967;3.25;5;1.839681716352
1968;3.55;5.2;2.1633783231501
1969;3.43;5;2.14597527977386
1970;3.39;4.7;2.13145274012886
1971;3.91;6;2.10660839544691
1972;4.52;5.2;1.83308056196791
1973;4.41;7;2.45538938890457
1974;4.66;5.9;1.99474883388376
1975;4.41;4.1;1.79335361467455
1976;3.81;4.6;1.52318636888199
1977;3.83;4.5;2.17526040104147
1978;5.41;6.6;2.53640355634569
1979;5.01;5.8;2.57541037770624
1980;5.5;4.9;2.86226054094223
1981;4.5;5.7;3.02200847703725
1982;4.9;6.7;2.66530609831869
1983;5.5;4.8;2.31964565056988
1984;6.5;6;2.3285272037412
1985;6.1;5.2;2.84533758152119
1986;4.7;6.2;2.50183751157081
1987;6.1;7;3.0468528217192
1988;5.8;8;2.9533564714427
1989;6.8;7.5;3
1990;5.8;7;3.2
1991;6.4;7;2.9
1992;5.2;8;3
1993;6.2;8.5;2.7
1994;6.7;8.9;2.5
1995;6.7;8.5;2.2
1996;7.3;8.2;2.8
1997;5.4;9;2.3
1998;7.3;8;2.5
1999;6.8;9.3;2.8
2000;7.2;9.964;3
2001;6.6;9.266;2.5
2002;6.7;8.7;2.9
2003;4.2;6.017;2
2004;6.9;9.615;3
2005;6;8.3;2.5
2006;6.2;9.1;2.9
2007;5.6;10.3;3.1
2008;5.7;9.1;2.7
2009;6.8;9.46;3.1
2010;6.6;9.17751937984;2.8
2011;5.8;9.175;3
2012;6.6;8.46031746032;2.8
2013;7.1;9.19230769231;2.8
2014;6.6;10.4661870504;2.8
2015;6.1;6.8306122449;2.1
2016;6;7.406400665;2.65
2017;6.1;9.1;3.31233924894849
2018;6.86;8.2;3.31233924894849
